,Artist,Area
669,Ludwig Mies van der Rohe,7724.15
670,Ludwig Mies van der Rohe,7724.15
671,Ludwig Mies van der Rohe,29719.22
672,Ludwig Mies van der Rohe,7741.95556004
673,Ludwig Mies van der Rohe,13144.25
674,Ludwig Mies van der Rohe,18576.64255206
675,Ludwig Mies van der Rohe,7724.15
676,Ludwig Mies van der Rohe,7724.15
677,Ludwig Mies van der Rohe,7724.15
678,Ludwig Mies van der Rohe,7969.374968040001
679,Ludwig Mies van der Rohe,338.7103548411014
680,Ludwig Mies van der Rohe,2961.29544901
681,Ludwig Mies van der Rohe,2961.29544901
682,Ludwig Mies van der Rohe,2961.36
683,Ludwig Mies van der Rohe,2961.36
684,Ludwig Mies van der Rohe,9651.63322404
685,Ludwig Mies van der Rohe,7741.95556004
686,Ludwig Mies van der Rohe,3865.8799999999997
687,Ludwig Mies van der Rohe,7741.950967771928
688,Ludwig Mies van der Rohe,7724.15
689,Ludwig Mies van der Rohe,7724.15
690,Ludwig Mies van der Rohe,7724.15
691,Ludwig Mies van der Rohe,7741.95556004
692,Ludwig Mies van der Rohe,3870.97778002
693,Ludwig Mies van der Rohe,3870.97778002
694,Ludwig Mies van der Rohe,39983.76
695,Ludwig Mies van der Rohe,7741.95556004
696,Ludwig Mies van der Rohe,7724.15
697,Ludwig Mies van der Rohe,7741.95556004
698,Ludwig Mies van der Rohe,7969.374968040001
699,Ludwig Mies van der Rohe,7741.95556004
700,Ludwig Mies van der Rohe,7741.95556004
